Accession	length	HVR_length	ncbi_taxid	ncbi_phylum	Domain	Phylum	Class	Order	Family	Genus	Species	genome_size
WP_086622928.1	363	123	698828	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Halomonadaceae	g__Kushneria	s__Kushneria konosiri	3584631
WP_046797760.1	339	99	1120688	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Neorhizobium	s__Neorhizobium sp001005825	5880273
ABO90683.1	307	67	382245	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas salmonicida	5040536
OFZ57895.1	277	37	1797393	Proteobacteria	d__Bacteria	p__Bdellovibrionota	c__Bacteriovoracia	o__Bacteriovoracales	f__Bacteriovoracaceae	g__XYC1-FULL-37-79	s__XYC1-FULL-37-79 sp001770015	4370266
WP_095003428.1	581	341	296	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E fragi	5562949
KJS85393.1	504	264	1531962	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Peptococcia	o__Peptococcales	f__BICA1-8	g__BICA1-8	s__BICA1-8 sp000802045	3976663
KMY86585.1	382	142	242161	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Caballeronia	s__Caballeronia calva	4208605
WP_019828803.1	575	335	122355	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E helleri	5703345
WP_105500038.1	810	570	2043164	Acidobacteria	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Sulfopaludibacter	s__Sulfopaludibacter sp900290315	8517636
WP_065783822.1	314	74	1873714	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Ensifer	s__Ensifer sp001695835	6225177
AVO49738.1	492	252	2109913	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__SC2-9	s__SC2-9 sp003008575	3754020
SFD40406.1	282	42	928856	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Epibacterium	s__Epibacterium multivorans	4175618
WP_031404968.1	493	253	1158292	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Thiomonas	s__Thiomonas sp000733775	4388462
GAA72930.1	487	247	420915	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pseudoalteromonas	s__Pseudoalteromonas sp001974855	3882800
WP_090273399.1	775	535	797277	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_D	s__Pseudomonas_D litoralis	3987942
SMX32206.1	442	202	1673631	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Maliponia	s__Maliponia aquimaris	5313976
PKL42512.1	746	506	2013829	Candidatus Riflebacteria	d__Bacteria	p__Riflebacteria	c__Ozemobacteria	o__Ozemobacterales	f__Ozemobacteraceae	g__Rifleibacterium	s__Rifleibacterium sp002839445	5678741
PKN54047.1	277	37	2013741	Proteobacteria	d__Bacteria	p__Myxococcota	c__UBA9042	o__PHBI01	f__PHBI01	g__PHBI01	s__PHBI01 sp002841945	8213741
RBY94314.1	393	153	2250581	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Geodermatophilaceae	g__Blastococcus	s__Blastococcus sp003319095	3927066
ONI44536.1	411	171	1712378	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Cellulosilyticaceae	g__Epulopiscium_B	s__Epulopiscium_B sp001983555	2484245
AEP30467.1	266	26	1085623	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Glaciecola	s__Glaciecola nitratireducens	4134229
WP_108667505.1	286	46	2052804	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Euzebyales	f__Euzebyaceae	g__Euzebya	s__Euzebya rosea	5509297
WP_100400252.1	274	34	2014005	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Marinococcaceae	g__C254	s__C254 sp002797315	3989367
EPD49590.1	257	17	1078085	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Paenisporosarcina	s__Paenisporosarcina sp000411295	3522309
ARS54057.1	706	466	698828	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Halomonadaceae	g__Kushneria	s__Kushneria konosiri	3584631
WP_112664561.1	389	149	2249811	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Microvirga	s__Microvirga sp003290125	3531066
PLV41655.1	292	52	536	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Chromobacteriaceae	g__Chromobacterium	s__Chromobacterium violaceum	4388579
AEI10972.1	379	139	593907	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Cellulomonadaceae	g__Cellulomonas	s__Cellulomonas gilvus	3526441
WP_085483074.1	469	229	1515439	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Paraburkholderia	s__Paraburkholderia susongensis	7718996
WP_037507675.1	308	68	13690	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__Sphingobium yanoikuyae	4349118
AQW88329.1	520	280	1874362	Proteobacteria	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter_A	s__Campylobacter_A caledonicus	1672911
WP_090988699.1	414	174	1882764	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-1321	g__Peribacillus	s__Peribacillus sp900112495	4394362
WP_031391060.1	275	35	1469948	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Kineothrix	s__Kineothrix alysoides	4676087
GBF48705.1	281	41	1917863	Spirochaetes	d__Bacteria	p__Spirochaetota	c__Leptospirae	o__Leptospirales	f__Leptospiraceae	g__Leptospira_A	s__Leptospira_A ryugenii	3951395
WP_090852733.1	353	113	1462524	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Paraliobacillus	s__Paraliobacillus sp001368815	2925430
CUW88579.1	614	374	1183436	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Agrobacterium	s__Agrobacterium pusense	5884522
ADE15424.1	489	249	472759	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Nitrosococcales	f__Nitrosococcaceae	g__Nitrosococcus	s__Nitrosococcus halophilus	4145260
WP_106887228.1	309	69	948519	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas rivipollensis	4508901
AKN25125.1	313	73	316	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_A	s__Pseudomonas_A xanthomarina_A	3617942
SDF16483.1	469	229	571438	Proteobacteria	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio legallii_A	2704428
OPA75659.1	270	30	1324314	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus_K	s__Paenibacillus_K selenitireducens	6890642
PWD61649.1	480	240	2042057	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Pectobacterium	s__Pectobacterium polaris	4606410
GBD17648.1	516	276	2035422	NA	d__Bacteria	p__Chloroflexota	c__Chloroflexia	o__Thermomicrobiales	f__Thermomicrobiaceae	g__Thermomicrobium	s__Thermomicrobium sp002898975	2073354
WP_081420173.1	418	178	1736574	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Pseudoxanthomonas_A	s__Pseudoxanthomonas_A sp001427585	4443405
PUU87115.1	560	320	1895664	Firmicutes	d__Bacteria	p__Firmicutes_F	c__Halanaerobiia	o__Halanaerobiales	f__Halanaerobiaceae	g__Halanaerobium	s__Halanaerobium sp003070825	2553108
EOQ96951.1	309	69	1218599	Spirochaetes	d__Bacteria	p__Spirochaetota	c__Leptospirae	o__Leptospirales	f__Leptospiraceae	g__Leptospira_A	s__Leptospira_A wolbachii	4081981
SDK03975.1	273	33	407036	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Sediminibacillus	s__Sediminibacillus albus	3565081
WP_012417337.1	377	137	521	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Bordetella	s__Bordetella avium	3694640
SUY73460.1	280	40	285	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Comamonas	s__Comamonas testosteroni_C	5952523
KGG96494.1	410	170	363952	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Comamonas	s__Comamonas thiooxydans	5583218
WP_087112114.1	405	165	1960125	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Endozoicomonadaceae	g__Parendozoicomonas	s__Parendozoicomonas haliclonae	5467208
PAA39968.1	676	436	296	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E fragi	5562949
OPX56179.1	389	149	64969	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Halomonadaceae	g__Oceanospirillum	s__Oceanospirillum multiglobuliferum	3512709
WP_098796393.1	313	73	2033502	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Metabacillus	s__Metabacillus sp002577655	5258052
WP_056817124.1	321	81	1736592	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium sp001429725	6292121
OUU74408.1	371	131	1986766	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Ga0077536_A	f__Ga0077536_A	g__TMED69	s__TMED69 sp002170535	1973610
WP_101631233.1	390	150	2053044	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-1321	g__Peribacillus	s__Peribacillus sp002863565	4433545
KJE40138.1	343	103	485447	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Thalassomonas	s__Thalassomonas actiniarum	7420857
PZQ62057.1	459	219	1549858	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas taxi_B	3311316
WP_020879737.1	298	58	941449	Proteobacteria	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfohalovibrio	s__Desulfohalovibrio sp000422205	3912295
WP_103647763.1	503	263	199	Proteobacteria	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter_A	s__Campylobacter_A concisus	1840041
WP_096273817.1	276	36	351095	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Ornithinibacillus	s__Ornithinibacillus globulus_B	3924109
WP_056578595.1	558	318	1736541	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Variovorax	s__Variovorax sp001426505	5749203
WP_039042127.1	520	280	1582223	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Sporosarcina	s__Sporosarcina sp000813425	3534579
EOS42050.1	400	160	397290	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__14-2	s__14-2 sp000403315	5238929
WP_078696206.1	270	30	1147123	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Caloramatoraceae	g__Caloramator_B	s__Caloramator_B quimbayensis	3131359
PKR77988.1	275	35	2018042	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Alkalibacillaceae	g__Halalkalibacillus_A	s__Halalkalibacillus_A sediminis	2863218
PMQ06988.1	467	227	1528744	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Rhodanobacteraceae	g__Dyella	s__Dyella sp002878475	5246714
SFC39850.1	292	52	753702	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Alkalibacterium	s__Alkalibacterium subtropicum	2491452
BAK52041.1	500	260	201	Proteobacteria	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter_D	s__Campylobacter_D lari_C	1613074
WP_039126794.1	269	29	1577896	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Leisingera	s__Leisingera sp000813725	5150147
WP_009172146.1	411	171	641107	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium sp000230835	6477357
KSW29460.1	397	157	1295626	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Cellulomonadaceae	g__Cellulomonas	s__Cellulomonas sp001462455	4042325
ATX92738.1	427	187	546	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter braakii	5184142
OGA85219.1	312	72	1797552	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Aquabacterium	s__Aquabacterium sp001770725	4119648
PHQ73357.1	486	246	50741	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Oleiphilaceae	g__Marinobacter	s__Marinobacter sp002726615	4574030
WP_068548760.1	676	436	412593	Aquificae	d__Bacteria	p__Thermosulfidibacterota	c__Thermosulfidibacteria	o__Thermosulfidibacterales	f__B14-G1	g__B14-G1	s__B14-G1 sp011039915	1135529
WP_099693812.1	326	86	2048253	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Sporosarcina	s__Sporosarcina ureae_C	3382782
WP_016321424.1	617	377	1235797	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__Dysosmobacter sp000403435	4467686
OFZ81747.1	277	37	1797403	Proteobacteria	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia_A	o__UBA1018	f__UBA1018	g__XYD1-FULL-53-11	s__XYD1-FULL-53-11 sp001770165	3374422
WP_056106208.1	259	19	1736445	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__Phenylobacterium sp001425305	4265935
WP_066637312.1	420	180	1285191	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Desulfotomaculia	o__Desulfotomaculales	f__Desulfofarciminaceae	g__Desulfofarcimen_A	s__Desulfofarcimen_A intricatum	2981061
WP_066872263.1	285	45	1805472	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_P	s__Clostridium_P mediterraneense	3083338
SPH19343.1	401	161	1510460	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Ascidiaceihabitans	s__Ascidiaceihabitans donghaensis	4077640
KXU31828.1	300	60	1176302	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__Sphingobium fuliginis	5318831
WP_037124732.1	365	125	1500301	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Pararhizobium	s__Pararhizobium sp000744565	6859583
OAR05159.1	271	31	1484	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__DSM-22653	f__DSM-22653	g__Hydrogenibacillus	s__Hydrogenibacillus schlegelii	2735157
PIX97099.1	300	60	1974028	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Thiobacillaceae	g__PFJX01	s__PFJX01 sp002784045	3034204
EMZ23388.1	617	377	1235802	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_J	s__Eubacterium_J plexicaudatum	6508819
AHB47776.1	311	71	1029756	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Hyphomicrobium	s__Hyphomicrobium nitrativorans	3653837
WP_042142556.1	288	48	1347087	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_D	f__Amphibacillaceae	g__Ornithinibacillus	s__Ornithinibacillus sp000577245	4006766
EEQ06405.1	419	179	349968	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Yersinia	s__Yersinia bercovieri	4347293
SAC90627.1	483	243	550	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter cloacae_M	4517264
PZU18476.1	294	54	1870904	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium_B	s__Rhizobium_B borbori	5797933
KEH94313.1	271	31	1443126	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_H	s__Clostridium_H novyi	2499706
WP_074697303.1	721	481	971	Firmicutes	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Selenomonas_A	s__Selenomonas_A ruminantium_J	2502678
WP_101798038.1	274	34	2067455	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__Novosphingobium sp002855555	2982565
SJL82329.1	379	139	1918946	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio palustris	3701013
SFM61923.1	285	45	1761898	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E sp900109995	5289324
PLT23864.1	523	283	888435	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pseudoalteromonas	s__Pseudoalteromonas arctica	4534122
SIR06274.1	303	63	1907416	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas sp900156095	4221297
WP_088712319.1	283	43	1234595	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Pacificimonas	s__Pacificimonas flava	3253933
SHJ75855.1	925	685	1121322	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerocolumna	s__Anaerocolumna jejuensis	6621268
WP_056635780.1	376	136	1736388	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus_C	s__Paenibacillus_C sp001428245	6398986
OJV60019.1	386	146	1895739	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Cellulomonadaceae	g__Cellulomonas	s__Cellulomonas sp001898185	3873425
RBP00054.1	382	142	189382	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Bacillaceae_B	g__Rossellomorea	s__Rossellomorea aquimaris_D	4753727
AKH65497.1	356	116	230089	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Photorhabdus	s__Photorhabdus thracensis	5147098
CAG19324.1	393	153	298386	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Photobacterium	s__Photobacterium profundum_A	6403280
EOS52820.1	490	250	1235793	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__COE1	s__COE1 sp000403335	4967607
OKZ85308.1	603	363	1896982	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium sp001916075	2507609
PAB59360.1	266	26	1478221	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Thermotaleaceae	g__Anaeromicrobium	s__Anaeromicrobium sediminis	4710588
WP_101219477.1	287	47	1396	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A cereus	5204644
PCJ18723.1	898	658	2030808	Candidatus Cloacimonetes	d__Bacteria	p__Cloacimonadota	c__Cloacimonadia	o__Cloacimonadales	f__GCA-2742885	g__GCA-2742885	s__GCA-2742885 sp002742885	2171621
WP_063260931.1	271	31	1396	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A cereus	5204644
CUM97870.1	515	275	301302	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter faecis	3596207
AWW26399.1	433	193	2184575	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__Acetobacterium	s__Acetobacterium sp003260995	3988368
WP_069857067.1	295	55	1592317	Proteobacteria	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfoplanaceae	g__Desulfoplanes	s__Desulfoplanes formicivorans	3000979
CCZ30931.1	407	167	1262987	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__CAG-495	s__CAG-495 sp000432275	1709120
SBW04084.1	507	267	34034	Proteobacteria	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__FLUQ01	s__FLUQ01 sp900079685	4009354
